mode,case_count,mean_elapsed_ms,std_elapsed_ms,median_elapsed_ms,ci95_low_ms,ci95_high_ms,mean_checked_rules,mean_condition_checks,mean_beta_memory_entries,speedup_vs_alpha_only,condition_check_reduction
alpha_only,100,0.011762870126403868,0.004983526079155114,0.01079149660654366,0.010786099014889465,0.012739641237918271,25.22,49.7,0,,
alpha_beta,100,0.03260084136854857,0.015125351844402049,0.030416500521823764,0.02963627240704577,0.035565410330051374,25.22,17.69,13.42,0.3608149247875551,0.6440643863179074
