case_id,case_type,alpha_elapsed_ms,baseline_elapsed_ms,speedup,alpha_candidate_rules,baseline_candidate_rules,filter_ratio
complete_0001,complete,0.017250014934688807,2.1480420255102217,124.52406758156658,5,5121,0.0009763718023823472
complete_0002,complete,0.008750008419156075,2.099042001646012,239.89028365397408,5,5121,0.0009763718023823472
complete_0003,complete,0.006249989382922649,2.1227499819360673,339.6405740682102,5,5121,0.0009763718023823472
complete_0004,complete,0.005624955520033836,2.200125018134713,391.1364294879755,5,5121,0.0009763718023823472
complete_0005,complete,0.006709014996886253,2.0266249775886536,302.07489154954015,7,5121,0.0013669205233352861
complete_0006,complete,0.009958981536328793,2.0755829755216837,208.4131763825733,10,5121,0.0019527436047646943
complete_0007,complete,0.008500006515532732,2.1286249975673854,250.42627834197316,9,5121,0.0017574692442882249
complete_0008,complete,0.004916975740343332,2.13479099329561,434.16748546872964,5,5121,0.0009763718023823472
complete_0009,complete,0.005458015948534012,2.27537500904873,416.8868377271564,5,5121,0.0009763718023823472
complete_0010,complete,0.013542012311518192,2.1898330305702984,161.70661938534278,5,5121,0.0009763718023823472
complete_0011,complete,0.0069160014390945435,2.237665990833193,323.5490927147859,5,5121,0.0009763718023823472
complete_0012,complete,0.008458038792014122,2.1974999690428376,259.81199933933436,9,5121,0.0017574692442882249
complete_0013,complete,0.004332978278398514,2.142541983630508,494.4732804943579,3.5,5121,0.0006834602616676431
complete_0014,complete,0.02058298559859395,2.3571670171804726,114.52017035572787,18,5121,0.0035149384885764497
complete_0015,complete,0.016583013348281384,2.331750001758337,140.61075347322162,18,5121,0.0035149384885764497
complete_0016,complete,0.017082958947867155,2.3297499865293503,136.3785977381995,14,5121,0.0027338410466705722
complete_0017,complete,0.027875008527189493,2.273291989695281,81.55305091576545,14,5121,0.0027338410466705722
complete_0018,complete,0.013834040146321058,2.2870420361869037,165.3198929594769,12,5121,0.0023432923257176333
complete_0019,complete,0.01629104372113943,2.3351659765467048,143.34047692208748,12,5121,0.0023432923257176333
complete_0020,complete,0.012666976545006037,2.3794170119799674,187.8441160387286,10.5,5121,0.002050380785002929
complete_0021,complete,0.014417048078030348,2.4644170189276338,170.9376985905371,13,5121,0.0025385666861941028
complete_0022,complete,0.027041009161621332,2.675459021702409,98.94079787153893,20,5121,0.0039054872095293887
complete_0023,complete,0.03612495493143797,2.3591669742017984,65.30574165917419,20,5121,0.0039054872095293887
complete_0024,complete,0.021250045392662287,2.38100002752617,112.04682077283174,22,5121,0.004296035930482328
complete_0025,complete,0.017041980754584074,2.3405840038321912,137.34225132267,20,5121,0.0039054872095293887
complete_0026,complete,0.01812499249354005,2.342624997254461,129.24832923872376,20,5121,0.0039054872095293887
complete_0027,complete,0.017499958630651236,2.2872500121593475,130.7003096654881,20,5121,0.0039054872095293887
complete_0028,complete,0.017417012713849545,2.3082090192474425,132.52611438998468,20,5121,0.0039054872095293887
complete_0029,complete,0.027999980375170708,2.303624991327524,82.27237878246119,26,5121,0.0050771333723882055
complete_0030,complete,0.016583013348281384,2.1873749792575836,131.90455397446067,20,5121,0.0039054872095293887
