mode,case_count,mean_elapsed_ms,std_elapsed_ms,median_elapsed_ms,ci95_low_ms,ci95_high_ms,mean_candidate_rules,mean_checked_rules,mean_condition_checks,speedup_vs_no_index
baseline_no_index,100,2.2151907882653177,0.05740765865100196,2.2180830128490925,2.203938887169721,2.226442689360914,5121,10242,10264.44,
alpha_index_only,100,0.010444960207678378,0.004225800340574434,0.009687995770946145,0.009616703340925788,0.011273217074430967,12.61,25.22,49.7,
full_optimized,100,0.030951639637351036,0.014366476876820612,0.028104521334171295,0.028135810169494197,0.03376746910520788,12.61,25.22,17.69,
sqlite_condition_index,100,0.005776454150327481,0,0.005776454150327481,0.005776454150327481,0.005776454150327481,0,0,0,72.14536799833073
